Ticker,Date,Volume,Close,Low,High,Open
KO,2018-01-02,10872178,45.54,45.505,45.94,45.91
KO,2018-01-03,12635589,45.44,45.34,45.69,45.49
KO,2018-01-04,12709370,46.08,45.45,46.215,45.56
KO,2018-01-05,13113148,46.07,45.79,46.2,46.02
KO,2018-01-08,7068611,46.0,45.88,46.1,45.95
KO,2018-01-09,9962424,46.23,45.935,46.36,46.0
KO,2018-01-10,10700671,46.07,45.93,46.26,46.23
KO,2018-01-11,7583180,46.04,45.86,46.23,46.23
KO,2018-01-12,14570149,46.15,46.03,46.39,46.28
KO,2018-01-16,16459289,46.53,46.14,46.62,46.15
KO,2018-01-17,12143081,46.82,46.55,47.0,46.58
KO,2018-01-18,11952931,46.88,46.61,47.07,46.75
KO,2018-01-19,16187425,47.16,46.87,47.25,46.99
KO,2018-01-22,9577437,47.38,47.09,47.5,47.14
KO,2018-01-23,11463742,47.45,47.13,47.7,47.21
KO,2018-01-24,15964475,47.83,47.48,47.95,47.53
KO,2018-01-25,11755001,47.84,47.7,48.0,47.7
KO,2018-01-26,16671227,48.53,47.74,48.615,47.78
KO,2018-01-29,11662632,47.7,47.575,48.46,48.21
KO,2018-01-30,12404757,47.41,47.4,48.16,47.73
KO,2018-01-31,10960082,47.59,47.37,47.9,47.45
KO,2018-02-01,10279439,47.45,47.11,47.73,47.41
KO,2018-02-02,12912307,46.73,46.63,47.41,47.35
KO,2018-02-05,23261475,44.89,44.411,46.92,46.65
KO,2018-02-06,25184306,44.67,43.44,44.74,43.87
KO,2018-02-07,18041614,44.56,44.28,45.495,44.58
KO,2018-02-08,23295329,43.1,43.07,44.62,44.62
KO,2018-02-09,22853126,43.13,42.19,43.46,43.36
KO,2018-02-12,14689026,43.97,43.3721,44.23,43.56
KO,2018-02-13,13163196,44.19,43.69,44.41,43.92
KO,2018-02-14,13457911,44.1,43.63,44.19,44.02
KO,2018-02-15,13467318,44.78,44.12,44.83,44.25
KO,2018-02-16,17202302,44.98,44.72,45.6401,45.57
KO,2018-02-20,14137347,43.99,43.94,44.83,44.75
KO,2018-02-21,12792902,43.34,43.33,44.26,44.11
KO,2018-02-22,12377840,43.52,43.22,43.82,43.43
KO,2018-02-23,8277178,44.04,43.42,44.06,43.58
KO,2018-02-26,12713306,44.03,43.81,44.39,44.23
KO,2018-02-27,12774392,43.62,43.62,44.311,44.15
KO,2018-02-28,11929361,43.22,43.22,43.91,43.83
KO,2018-03-01,17746825,43.43,42.82,43.64,43.1
KO,2018-03-02,14050081,43.72,43.24,43.8,43.25
KO,2018-03-05,11992712,43.89,43.5,43.935,43.57
KO,2018-03-06,10010478,43.93,43.59,44.05,43.95
KO,2018-03-07,10881683,43.82,43.47,43.92,43.59
KO,2018-03-08,12361100,44.45,43.8,44.46,43.9
KO,2018-03-09,9778643,44.82,44.39,44.82,44.57
KO,2018-03-12,11857700,44.53,44.33,45.09,44.95
KO,2018-03-13,11342136,44.57,44.4,44.825,44.67
KO,2018-03-14,15321218,43.78,43.725,44.43,44.38
KO,2018-03-15,12456712,43.67,43.55,44.0,43.88
KO,2018-03-16,26603281,43.46,43.45,44.02,43.7
KO,2018-03-19,12380290,43.26,43.175,43.71,43.46
KO,2018-03-20,13559805,43.16,43.01,43.48,43.32
KO,2018-03-21,13053980,43.0,42.79,43.45,43.13
KO,2018-03-22,12274085,42.76,42.7,43.365,42.88
KO,2018-03-23,13475205,42.33,42.29,43.1556,42.82
KO,2018-03-26,11276082,42.69,42.25,42.8099,42.61
KO,2018-03-27,11627041,42.89,42.525,43.31,42.7
KO,2018-03-28,16277393,43.32,43.0,43.7,43.0
KO,2018-03-29,10450497,43.43,43.29,43.92,43.54
KO,2018-04-02,14207925,42.67,42.473,43.5,43.44
KO,2018-04-03,15484644,43.38,42.84,43.535,42.98
KO,2018-04-04,13563321,44.24,43.11,44.4,43.14
KO,2018-04-05,11707816,44.4,43.94,44.61,44.28
KO,2018-04-06,11495075,43.92,43.71,44.52,44.28
KO,2018-04-09,11913408,43.83,43.78,44.31,44.03
